Gia,Dia chi,Dien tich,Gia/m2,Huong dat,Loai hinh dat,Chieu ngang,Chieu dai
"3,25 tỷ - 85 m2","Đường Trần Lê, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",85 m²,"38,24 triệu/m²",Bắc,Đất thổ cư,5 m,17 m
"101,23 tỷ - 382 m2","Đường Trần Bạch Đằng, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",382 m²,265 triệu/m²,,Đất nền dự án,15 m,25.5 m
"3,75 tỷ - 100 m2","Đường Huỳnh Ngọc Đủ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"37,5 triệu/m²",Đông Bắc,Đất thổ cư,,
"2,6 tỷ - 100 m2","Đường Lương Khắc Ninh, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,26 triệu/m²,Nam,Đất nền dự án,5 m,20 m
"4,5 tỷ - 1.080 m2","Đường Bê Tông Oto, Xã Hòa Ninh, Huyện Hòa Vang, Đà NẵngXem bản đồ",1080 m²,"4,17 triệu/m²",Tây,Đất thổ cư,18 m,55 m
"3,5 tỷ - 87 m2","Đường Võ Chí Công, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",87 m²,"40,23 triệu/m²",Đông Bắc,Đất nền dự án,5 m,17 m
"3,85 tỷ - 97 m2","Đường Phan Thị Nể, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",97 m²,"39,69 triệu/m²",Tây Bắc,Đất thổ cư,5 m,19.5 m
"1,35 tỷ - 150 m2","Đường Nguyễn Tất Thành, Xã Hòa Liên, Huyện Hòa Vang, Đà NẵngXem bản đồ",150 m²,9 triệu/m²,Tây Nam,Đất nền dự án,5 m,30 m
"2,2 tỷ - 81 m2","Đường Phước Tướng 7, Phường Hòa Phát, Quận Cẩm Lệ, Đà NẵngXem bản đồ",81 m²,"27,16 triệu/m²",Bắc,Đất thổ cư,4.5 m,
"3,75 tỷ - 100 m2","Đường Bùi Thiện Ngộ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"37,5 triệu/m²",Đông Bắc,Đất nền dự án,5 m,20 m
"4,6 tỷ - 184.5 m2","Khánh An 6, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",184.5 m²,"24,93 triệu/m²",Đông Bắc,Đất nền dự án,9.5 m,20 m
"7,5 tỷ - 200 m2","B2.141, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",200 m²,"37,5 triệu/m²",,Đất thổ cư,,
12 tỷ - 250 m2,"Đường Trung Lương 8, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",250 m²,48 triệu/m²,,Đất thổ cư,,
"3,8 tỷ - 100 m2","Cồn Dầu 16, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,38 triệu/m²,,Đất thổ cư,,
3 tỷ - 110 m2,"Võ Chí Công Nối Dài, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",110 m²,"27,27 triệu/m²",,Đất thổ cư,2 m,22 m
"2,9 tỷ - 72 m2","Ngô Trí Hoa, Phường Nại Hiên Đông, Quận Sơn Trà, Đà NẵngXem bản đồ",72 m²,"40,28 triệu/m²",Đông Bắc,Đất thổ cư,4 m,18 m
"2,1 tỷ - 102 m2","Đường Đào Ngọc Chua, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",102 m²,"20,59 triệu/m²",Đông Nam,Đất nền dự án,5 m,20 m
"11,5 tỷ - 100 m2","Đường Châu Thị Vĩnh Tế, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,115 triệu/m²,Đông Bắc,Đất thổ cư,5 m,20 m
"1,7 tỷ - 193 m2","Thôn Quá Giáng 1, Xã Hòa Phước, Huyện Hòa Vang, Đà NẵngXem bản đồ",193 m²,"8,81 triệu/m²",Đông Nam,Đất thổ cư,8 m,25 m
"2,85 tỷ - 75 m2","41, Đường Ngô Sĩ Liên, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",75 m²,38 triệu/m²,Tây Nam,Đất thổ cư,5 m,17 m
"1,65 tỷ - 70 m2","140//40, Đường Nguyễn Chánh, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà NẵngXem bản đồ",70 m²,"23,57 triệu/m²",Tây Bắc,Đất thổ cư,4 m,17 m
"3,05 tỷ - 90 m2","Hố Truông 2, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",90 m²,"33,89 triệu/m²",Đông Nam,Đất nền dự án,5 m,18 m
"2,65 tỷ - 100 m2","Đường Xuân Thiều 10, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,"26,5 triệu/m²",Đông Nam,Đất nền dự án,5 m,20 m
23 tỷ - 210 m2,"An Đồn 6, Phường Phước Mỹ, Quận Sơn Trà, Đà NẵngXem bản đồ",210 m²,"109,52 triệu/m²",Đông Nam,Đất nền dự án,10 m,21 m
890 triệu - 120 m2,"thôn gò hà, Xã Hòa Khương, Huyện Hòa Vang, Đà NẵngXem bản đồ",120 m2,"7,42 triệu/m2",Nam,Đất thổ cư,7 m,19 m
"18,5 tỷ - 191 m2","Phước Trường 10, Phường Phước Mỹ, Quận Sơn Trà, Đà NẵngXem bản đồ",191 m²,"96,86 triệu/m²",,Đất thổ cư,,
"1,65 tỷ - 110 m2","7979, Mặt Tiền Thị An, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",110 m²,15 triệu/m²,Nam,Đất thổ cư,4 m,
"5,2 tỷ - 115 m2","Đường Mẹ Thứ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",115 m²,"45,22 triệu/m²",,Đất thổ cư,5 m,23 m
13 tỷ - 215 m2,"Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",215 m²,"60,47 triệu/m²",Tây,Đất thổ cư,10 m,21.5 m
"5,3 tỷ - 120 m2","Mẹ Thứ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",120 m²,"44,17 triệu/m²",Tây Bắc,Đất thổ cư,5 m,24 m
"1,95 tỷ - 100 m2","Đường Đá Bàn 2, Xã Hòa Châu, Huyện Hòa Vang, Đà NẵngXem bản đồ",100 m²,"19,5 triệu/m²",Đông Bắc,Đất thổ cư,5 m,20 m
"2,7 tỷ - 100 m2","Đường Chơn Tâm 5, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,27 triệu/m²,Đông,Đất thổ cư,5 m,20 m
"2,85 tỷ - 105 m2","Đường Quảng Nam, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",105 m²,"27,14 triệu/m²",Đông Nam,Đất nền dự án,5 m,21 m
"3,15 tỷ - 100 m2","Trần Xuân Hoà, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,"31,5 triệu/m²",,Đất thổ cư,5 m,
"2,97 tỷ - 110 m2","7m5, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",110 m²,27 triệu/m²,Đông Nam,Đất nền dự án,5 m,22 m
"2,95 tỷ - 105 m2","7m5, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",105 m²,"28,1 triệu/m²",,Đất nền dự án,5 m,21 m
"2,65 tỷ - 100 m2","Đường Võ Chí Công, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"26,5 triệu/m²",Bắc,Đất nền dự án,5 m,20 m
"3,1 tỷ - 70 m2","Đường Hóa Quê Trung 3, Phường Hòa Cường Bắc, Quận Hải Châu, Đà NẵngXem bản đồ",70 m²,"44,29 triệu/m²",,Đất thổ cư,,
"3,8 tỷ - 100 m2","Đường Cồn Dầu 16, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,38 triệu/m²,Tây Bắc,Đất nền dự án,5 m,20 m
950 triệu - 127.5.999 m2,"Bắc An, Xã Hòa Tiến, Huyện Hòa Vang, Đà NẵngXem bản đồ",127.5999 m²,"7,45 triệu/m²",Tây Bắc,Đất thổ cư,5 m,22 m
"4,75 tỷ - 100 m2","Đường Trần Minh Tông, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,"47,5 triệu/m²",Đông Nam,Đất thổ cư,5 m,20 m
"2,59 tỷ - 240 m2","Miếu Bông, Xã Hòa Châu, Huyện Hòa Vang, Đà NẵngXem bản đồ",240 m²,"10,79 triệu/m²",,Đất thổ cư,6.4 m,
"3,55 tỷ - 77 m2","Nguyễn Đăng, Phường Hòa Khê, Quận Thanh Khê, Đà NẵngXem bản đồ",77 m²,"46,1 triệu/m²",,Đất thổ cư,,
"4,79 tỷ - 192 m2","Nguyễn Bảo, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",192 m²,"24,95 triệu/m²",,Đất thổ cư,,
"3,89 tỷ - 180 m2","Quận CẨM LỆ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",180 m²,"21,61 triệu/m²",Đông Bắc,Đất thổ cư,,
"3,04 tỷ - 100 m2","Đường Nguyễn Nhược Pháp, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,"30,4 triệu/m²",,Đất thổ cư,5 m,20 m
"3,69 tỷ - 100 m2","Đường Đậu Quang Lĩnh, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,"36,9 triệu/m²",Tây Bắc,Đất thổ cư,,
"3,85 tỷ - 97.3 m2","Phan Thị Nể, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",97.3 m²,"39,57 triệu/m²",,Đất thổ cư,5 m,19.7 m
"4,15 tỷ - 100 m2","Đường 7𝐦5- Khu E Kim Long, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,"41,5 triệu/m²",Tây Nam,Đất thổ cư,5 m,20 m
178 triệu - 320 m2,"602, Xã Hòa Phong, Huyện Hòa Vang, Đà NẵngXem bản đồ",320 m²,556.250 đ/m²,,Đất nông nghiệp,15.5 m,21 m
"3,49 tỷ - 72 m2","Đường Trương Định, Phường Mân Thái, Quận Sơn Trà, Đà NẵngXem bản đồ",72 m²,"48,47 triệu/m²",,Đất thổ cư,,
4 tỷ - 92 m2,"Hòa Phú, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",92 m²,"43,48 triệu/m²",Đông Nam,Đất thổ cư,5 m,19 m
"2,5 tỷ - 100 m2","Đường Xuân Thiều 10, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,25 triệu/m²,Tây Bắc,Đất nền dự án,5 m,20 m
"2,55 tỷ - 51 m2","Nguyễn Tri Phương, Phường Hòa Thuận Đông, Quận Hải Châu, Đà NẵngXem bản đồ",51 m²,50 triệu/m²,Tây Bắc,Đất thổ cư,3.5 m,14 m
"1,98 tỷ - 87 m2","Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà NẵngXem bản đồ",87 m²,"22,76 triệu/m²",Tây Bắc,Đất thổ cư,7 m,12 m
"5,7 tỷ - 73 m2","Đường Nguyễn Văn Siêu, Phường An Hải Tây, Quận Sơn Trà, Đà NẵngXem bản đồ",73 m²,"78,08 triệu/m²",Tây Bắc,Đất thổ cư,4.25 m,17 m
"4,8 tỷ - 121 m2","HUỳnh Văn Gấm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",121 m²,"39,67 triệu/m²",Đông Bắc,Đất nền dự án,5 m,
"3,05 tỷ - 120 m2","Đường Hà Duy Phiên, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",120 m²,"25,42 triệu/m²",Đông,Đất thổ cư,5 m,
"5,1 tỷ - 130 m2","Đường Hoàng Thế Thiện, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",130 m²,"39,23 triệu/m²",Đông Bắc,Đất nền dự án,5 m,
"2,45 tỷ - 118 m2","Mai Văn Ngọc, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",118 m²,"20,76 triệu/m²",,Đất thổ cư,5 m,23.5 m
950 triệu - 150 m2,"Đường Quốc lộ 14G, Xã Hòa Phong, Huyện Hòa Vang, Đà NẵngXem bản đồ",150 m²,"6,33 triệu/m²",Đông,Đất thổ cư,5 m,30 m
"15,5 tỷ - 174 m2","Đường Lê Quảng Chí, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",174 m²,"89,08 triệu/m²",Tây Bắc,Đất nền dự án,,
870 triệu - 130 m2,"nam thành, Xã Hòa Phong, Huyện Hòa Vang, Đà NẵngXem bản đồ",130 m²,"6,69 triệu/m²",Đông,Đất thổ cư,6.5 m,23 m
3 tỷ - 150 m2,"Huỳnh Dạng, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",150 m²,20 triệu/m²,Đông Nam,Đất thổ cư,,
"3,52 tỷ - 125 m2","Quảng Nam, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",125 m²,"28,16 triệu/m²",Tây Nam,Đất nền dự án,5 m,25 m
"4,75 tỷ - 185 m2","Đường Mê Linh, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",185 m²,"25,68 triệu/m²",,Đất thổ cư,,
"10,3 tỷ - 110 m2","Ngô Tất Tố - Bình An 4, Phường Hòa Cường Bắc, Quận Hải Châu, Đà NẵngXem bản đồ",110 m²,"93,64 triệu/m²",Tây,Đất thổ cư,6 m,20 m
"19,375 tỷ - 312.5 m2","Gia'ng Hương 5, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",312.5 m²,62 triệu/m²,Đông Nam,Đất thổ cư,12.5 m,25 m
"2,25 tỷ - 60 m2","Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê, Đà NẵngXem bản đồ",60 m²,"37,5 triệu/m²",,Đất thổ cư,4.5 m,
"1,35 tỷ - 84 m2","Đường Nam Cao, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",84 m²,"16,07 triệu/m²",Tây,Đất thổ cư,,
"12,9 tỷ - 98 m2","Đường Lý Tự Trọng, Phường Thạch Thang, Quận Hải Châu, Đà NẵngXem bản đồ",98 m²,"131,63 triệu/m²",Tây Nam,Đất thổ cư,7 m,
"8,2 tỷ - 250 m2","Hoàng Minh Thảo, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",250 m²,"32,8 triệu/m²",Đông Bắc,Đất thổ cư,10 m,22 m
3 tỷ - 100 m2,"Cầu Nguyễn Tri Phương, Phường Khuê Trung, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,30 triệu/m²,Tây Nam,Đất thổ cư,5 m,20 m
"2,4 tỷ - 100 m2","Đường Lương Khắc Ninh, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,24 triệu/m²,Bắc,Đất thổ cư,5 m,20 m
"5,9 tỷ - 125 m2","Đường Ninh Tốn, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà NẵngXem bản đồ",125 m²,"47,2 triệu/m²",Đông Bắc,Đất thổ cư,5 m,25 m
"2,4 tỷ - 90 m2","Đường Cổ Mân Lan 2, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",90 m²,"26,67 triệu/m²",Bắc,Đất thổ cư,5 m,19 m
"4,75 tỷ - 250 m2","Đường Võ Chí Công, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",250 m²,19 triệu/m²,,Đất thổ cư,10 m,25 m
12 tỷ - 142 m2,"Nguyễn Sinh Sắc, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",142 m²,"84,51 triệu/m²",Đông Nam,Đất nền dự án,7 m,20 m
"4,35 tỷ - 105 m2","Đường Trần Đăng, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",105 m²,"41,43 triệu/m²",Đông Nam,Đất thổ cư,5 m,21 m
"1,33 tỷ - 99 m2","Mai Đăng Chơn, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",99 m²,"13,43 triệu/m²",Đông,Đất thổ cư,5 m,20 m
"2,35 tỷ - 55 m2","Đường Thành Vinh 2, Phường Thọ Quang, Quận Sơn Trà, Đà NẵngXem bản đồ",55 m²,"42,73 triệu/m²",,Đất thổ cư,5.5 m,
"3,3 tỷ - 97 m2","Thanh Lương 2, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",97 m²,"34,02 triệu/m²",,Đất nền dự án,,
"2,65 tỷ - 96 m2","K20, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",96 m²,"27,6 triệu/m²",Tây Nam,Đất thổ cư,4.1999 m,
"3,2 tỷ - 164 m2","Đường Huỳnh Bá Chánh, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",164 m²,"19,51 triệu/m²",Đông Bắc,Đất thổ cư,,
21 tỷ - 300 m2,"Giáng Hương 2, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",300 m²,70 triệu/m²,Tây Nam,Đất nền dự án,12 m,25 m
"7,799999999 tỷ - 195 m2","Bàu mạc 21, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà NẵngXem bản đồ",195 m²,40 triệu/m²,Đông Bắc,Đất nền dự án,10 m,20 m
"2,95 tỷ - 150 m2","Số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",150 m²,"19,67 triệu/m²",Đông Nam,Đất nền dự án,6 m,25 m
"3,95 tỷ - 1.706 m2","ĐT.602, Xã Hòa Ninh, Huyện Hòa Vang, Đà NẵngXem bản đồ",1706 m²,"2,32 triệu/m²",Đông Nam,Đất thổ cư,,
"3,35 tỷ - 60 m2","Nại Nghĩa, Phường An Hải Bắc, Quận Sơn Trà, Đà NẵngXem bản đồ",60 m²,"55,83 triệu/m²",Nam,Đất thổ cư,5.1199 m,
"15,5 tỷ - 200 m2","Trường Sa, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",200 m²,"77,5 triệu/m²",Đông,Đất nền dự án,10 m,20 m
"1,32 tỷ - 98 m2","Thị An, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",98 m²,"13,47 triệu/m²",Tây Bắc,Đất thổ cư,5 m,20 m
"4,8 tỷ - 100 m2","Đường Giang Châu 1, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",100 m²,48 triệu/m²,,Đất nền dự án,,
"2,1 tỷ - 100 m2","Số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",100 m²,21 triệu/m²,Tây Nam,Đất nền dự án,5 m,25 m
700 triệu - 180 m2,"Đường Quốc lộ 14B mở rộng, Xã Hòa Khương, Huyện Hòa Vang, Đà NẵngXem bản đồ",180 m²,"3,89 triệu/m²",Đông,Đất thổ cư,10 m,18 m
"10,5 tỷ - 200 m2","Đường Diên Hồng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",200 m²,"52,5 triệu/m²",,Đất thổ cư,,
"2,85 tỷ - 85 m2","Đường Ngô Sĩ Liên, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",85 m²,"33,53 triệu/m²",,Đất thổ cư,5 m,17 m
"1,99 tỷ - 70 m2","Đường Nguyễn Chánh, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",70 m²,"28,43 triệu/m²",Tây Bắc,Đất thổ cư,5 m,14 m
"1,77 tỷ - 60 m2","Đường Nguyễn Chánh, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",60 m²,"29,5 triệu/m²",Tây Bắc,Đất thổ cư,4.6999 m,12 m
"2,1 tỷ - 120 m2","Đường Lạc Long Quân, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà NẵngXem bản đồ",120 m²,"17,5 triệu/m²",Đông Bắc,Đất thổ cư,4 m,25 m
"1,85 tỷ - 53 m2","Đường Điện Biên Phủ, Phường Thanh Khê Đông, Quận Thanh Khê, Đà NẵngXem bản đồ",53 m²,"34,91 triệu/m²",Đông Nam,Đất thổ cư,4 m,12 m
880 triệu - 120 m2,"Dt602, Xã Hòa Sơn, Huyện Hòa Vang, Đà NẵngXem bản đồ",120 m²,"7,33 triệu/m²",Đông Bắc,Đất thổ cư,6.8699 m,18.8199 m
"4,1 tỷ - 100 m2","Đường Bùi Trang Chước, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",100 m²,41 triệu/m²,Tây Nam,Đất nền dự án,5 m,20 m
11 tỷ - 172 m2,"Đường Hoàng Thế Thiện, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",172 m²,"63,95 triệu/m²",Đông Bắc,Đất nền dự án,8.5 m,20.2 m
"2,25 tỷ - 90 m2","Phước Lý 20, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",90 m²,25 triệu/m²,Đông Nam,Đất thổ cư,5 m,18 m
"1,55 tỷ - 88 m2","Bình Kỳ, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",88 m²,"17,61 triệu/m²",Bắc,Đất thổ cư,5 m,17.6 m
"4,7 tỷ - 185 m2","Đường số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",185 m²,"25,41 triệu/m²",Nam,Đất thổ cư,8 m,24 m
"1,15 tỷ - 100 m2","Đường tỉnh 605, Xã Hòa Châu, Huyện Hòa Vang, Đà NẵngXem bản đồ",100 m²,"11,5 triệu/m²",,Đất thổ cư,5 m,20 m
"1,595 tỷ - 66.3 m2","Kiệt 41 Trần Đức, Đường Trần Đức, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",66.3 m²,"24,06 triệu/m²",Bắc,Đất thổ cư,6 m,11.1099 m
800 triệu - 1.500 m2,"Thôn Nam Yên, Xã Hòa Bắc, Huyện Hòa Vang, Đà NẵngXem bản đồ",1500 m²,533.333 đ/m²,Đông,Đất nông nghiệp,,
"4,95 tỷ - 150 m2","Đường Vũ Văn Cẩn, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",150 m²,33 triệu/m²,Đông Bắc,Đất thổ cư,7.5 m,20 m
"3,85 tỷ - 97 m2","Đường Phan Thị Nể, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",97 m²,"39,69 triệu/m²",Tây Bắc,Đất thổ cư,5 m,19.3999 m
"2,4 tỷ - 90 m2","Đường Cổ Mân Lan 2, Phường Hòa Xuân, Quận Cẩm Lệ, Đà NẵngXem bản đồ",90 m²,"26,67 triệu/m²",,Đất thổ cư,,
"1,75 tỷ - 78 m2","mẹ suốt , Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà NẵngXem bản đồ",78 m²,"22,44 triệu/m²",Đông Nam,Đất thổ cư,6 m,13 m
"2,36 tỷ - 117 m2","Đường Huỳnh Tịnh Của, Xã Hòa Châu, Huyện Hòa Vang, Đà NẵngXem bản đồ",117 m²,"20,17 triệu/m²",,Đất nền dự án,,
"4,25 tỷ - 180 m2","Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",180 m²,"23,61 triệu/m²",Bắc,Đất nền dự án,7.5 m,24 m
620 triệu - 260 m2,"Đường tỉnh 605, Xã Hòa Tiến, Huyện Hòa Vang, Đà NẵngXem bản đồ",260 m²,"2,38 triệu/m²",,Đất thổ cư,,
"12,5 tỷ - 160 m2","Đường Đặng Vũ Hỷ, Phường Phước Mỹ, Quận Sơn Trà, Đà NẵngXem bản đồ",160 m²,"78,13 triệu/m²",,Đất thổ cư,7 m,
"1,42 tỷ - 121 m2","đường 5, Xã Hòa Liên, Huyện Hòa Vang, Đà NẵngXem bản đồ",121 m²,"11,74 triệu/m²",Tây Nam,Đất thổ cư,5 m,24.5 m
"4,15 tỷ - 96 m2","Nam Thọ 3, Phường Mân Thái, Quận Sơn Trà, Đà NẵngXem bản đồ",96 m²,"43,23 triệu/m²",Nam,Đất nền dự án,4.5 m,21 m
"7,2 tỷ - 103.5 m2","Đường Trần Khánh Dư, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà NẵngXem bản đồ",103.5 m²,"69,57 triệu/m²",,Đất thổ cư,,
"7,1 tỷ - 237 m2","Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà NẵngXem bản đồ",237 m²,"29,96 triệu/m²",Tây Nam,Đất thổ cư,9 m,26 m
