Gia,Dia chi,Dien tich,Gia/m²,Huong dat,Loai hinh dat,Chieu ngang,Chieu dai,Quan
3.85,"Đường Phan Thị Nể, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",97.0,39.69,Tây Bắc,Đất thổ cư,5.0,19.4,Liên Chiểu
1.75,"Mẹ Suốt , Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",78.0,22.44,Đông Nam,Đất thổ cư,6.0,13.0,Liên Chiểu
4.25,"Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",180.0,23.61,Bắc,Đất nền dự án,7.5,24.0,Ngũ Hành Sơn
12.5,"Đường Đặng Vũ Hỷ, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",160.0,78.12,,Đất thổ cư,7.0,22.86,Sơn Trà
1.42,"Đường 5, Xã Hòa Liên, Huyện Hòa Vang, Đà Nẵng",121.0,11.74,Tây Nam,Đất thổ cư,5.0,24.5,Hòa Vang
4.15,"Nam Thọ 3, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng",96.0,43.23,Nam,Đất nền dự án,4.5,21.0,Sơn Trà
7.1,"Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",237.0,29.96,Tây Nam,Đất thổ cư,9.0,26.0,Liên Chiểu
1.39,"Hoà Sơn 7, Xã Hòa Sơn, Huyện Hòa Vang, Đà Nẵng",100.0,13.9,Tây Nam,Đất thổ cư,5.0,20.0,Hòa Vang
3.35,"Đường Huỳnh Bá Chánh, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",163.0,20.55,Đông Bắc,Đất nền dự án,6.5,30.0,Ngũ Hành Sơn
7.6,"Đường Phan Văn Thuật, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",187.0,40.64,Đông Bắc,Đất nền dự án,7.0,25.0,Liên Chiểu
3.05,"Nguyễn Nhược Pháp, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",100.0,30.5,,Đất thổ cư,5.0,20.0,Liên Chiểu
3.65,"Đường Hà Bồng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,36.5,Đông Nam,Đất thổ cư,5.0,20.0,Cẩm Lệ
2.85,"Đường Nhơn Hòa Phước 1, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",90.0,31.67,Tây Nam,Đất thổ cư,6.0,15.0,Cẩm Lệ
2.6,"Đường Lương Khắc Ninh, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,26.0,Nam,Đất thổ cư,5.0,20.0,Cẩm Lệ
3.28,"Đường Nguyễn Sắc Kim, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",97.0,33.81,Tây Nam,Đất thổ cư,5.0,20.0,Cẩm Lệ
2.95,"Số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",100.0,29.5,Tây Nam,Đất nền dự án,5.0,20.0,Liên Chiểu
5.8,"Đường Bàu Mạc 23, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",150.0,38.67,Đông Bắc,Đất thổ cư,5.0,30.0,Liên Chiểu
2.4,"Đường Số 5, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",100.0,24.0,Tây Bắc,Đất nền dự án,5.0,20.0,Liên Chiểu
2.97,"Đường Nguyễn Hữu Thận, Phường An Khê, Quận Thanh Khê, Đà Nẵng",78.0,38.08,Tây,Đất thổ cư,6.5,12.0,Thanh Khê
2.8,"Cẩm Nam 12, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",95.0,29.47,Bắc,Đất thổ cư,5.0,19.0,Cẩm Lệ
1.7,"Đường Tôn Đản, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng",100.0,17.0,,Đất thổ cư,5.0,20.0,Cẩm Lệ
2.47,"Bình An 7 , Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",70.0,35.29,Đông,Đất thổ cư,5.0,14.0,Hải Châu
1.78,"Đường Nguyễn Chánh, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",61.3,29.04,Tây Bắc,Đất nền dự án,4.7,12.91,Liên Chiểu
1.25,"2, Đường Quốc Lộ 1, Xã Hòa Phước, Huyện Hòa Vang, Đà Nẵng",159.0,7.86,Đông,Đất thổ cư,5.0,30.0,Hòa Vang
3.1,"Đường Nguyễn Kim, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,31.0,Bắc,Đất thổ cư,5.0,20.0,Cẩm Lệ
4.37,"Đường Bờ Quan 3, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",125.0,34.96,Đông Bắc,Đất nền dự án,5.0,25.0,Ngũ Hành Sơn
3.2,"Đường Đỗ Tự, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,32.0,Đông,Đất nền dự án,5.0,20.0,Cẩm Lệ
2.9,"Hòa Phú 4, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",80.0,36.25,Đông Nam,Đất thổ cư,5.0,16.0,Liên Chiểu
2.8,"Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",90.0,31.11,Bắc,Đất nền dự án,6.0,15.0,Ngũ Hành Sơn
4.6,"Hòa Phú, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",110.0,41.82,Đông Nam,Đất thổ cư,5.5,20.0,Liên Chiểu
3.2,"Trung Đồng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",120.0,26.67,Đông,Đất nền dự án,5.2,23.2,Cẩm Lệ
4.65,"Võ Văn Ngân, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,46.5,Đông Nam,Đất thổ cư,5.0,20.0,Cẩm Lệ
2.35,"Văn Thánh 1, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",98.0,23.98,Tây Nam,Đất thổ cư,7.0,14.0,Liên Chiểu
6.85,"Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",190.2,36.01,Tây Bắc,Đất nền dự án,10.5,18.11,Ngũ Hành Sơn
4.55,"Hòa Hải, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",139.0,32.73,Nam,Đất nền dự án,7.5,18.53,Ngũ Hành Sơn
2.6,"Đường Võ Chí Công, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",145.0,17.93,,Đất thổ cư,5.0,29.0,Ngũ Hành Sơn
1.8,"Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",75.1,23.97,Đông Nam,Đất thổ cư,4.3,17.5,Liên Chiểu
8.6,"Đường Văn Tiến Dũng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",250.0,34.4,Tây,Đất thổ cư,10.0,25.0,Cẩm Lệ
1.35,"Nam Kỳ Khởi Nghĩa, Xã Hòa Tiến, Huyện Hòa Vang, Đà Nẵng",140.0,9.64,,Đất thổ cư,7.0,20.0,Hòa Vang
1.77,"Đường Nguyễn Chánh, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",61.0,29.02,Tây Bắc,Đất thổ cư,5.0,12.0,Liên Chiểu
5.8,"0, An Trung Đông, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng",105.0,55.24,Đông,Đất thổ cư,6.0,17.5,Sơn Trà
2.45,"Đường Nguyễn Quang Lâm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,24.5,Tây,Đất thổ cư,5.0,20.0,Cẩm Lệ
1.3,"Adb5, Xã Hòa Tiến, Huyện Hòa Vang, Đà Nẵng",220.0,5.91,,Đất thổ cư,6.0,36.67,Hòa Vang
1.35,"Quốc Lộ, Xã Hòa Tiến, Huyện Hòa Vang, Đà Nẵng",252.0,5.36,,Đất thổ cư,10.0,25.2,Hòa Vang
3.88,"Đường Hòa Phú 27 - Khu E Kim Long, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",100.0,38.8,Tây Nam,Đất thổ cư,5.0,20.0,Liên Chiểu
1.95,"2, Cầu Đỏ, Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng",100.0,19.5,Đông,Đất thổ cư,5.0,20.0,Hòa Vang
1.35,"2, Undefined, Xã Hòa Tiến, Huyện Hòa Vang, Đà Nẵng",126.0,10.71,Tây,Đất thổ cư,5.0,25.2,Hòa Vang
6.5,"Đường Nguyễn Kim, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",200.0,32.5,Bắc,Đất nền dự án,10.0,20.0,Cẩm Lệ
2.05,"Lakeisde Homeland, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",100.0,20.5,Đông Bắc,Đất nền dự án,5.0,20.0,Liên Chiểu
5.6,"Đường Lê Văn Quý, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",74.0,75.68,Tây,Đất thổ cư,4.5,16.5,Sơn Trà
18.0,"Đường Đinh Thị Hòa, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",179.3,100.39,Tây Bắc,Đất thổ cư,9.0,19.9,Sơn Trà
2.38,"Đường Liêm Lạc 21, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",100.0,23.8,Nam,Đất nền dự án,5.0,20.0,Cẩm Lệ
1.65,"32, Dh2 Cũ, Thôn Thái Lai, Xã Hòa Nhơn, Huyện Hòa Vang, Tp Đà Nẵng, Đà Nẵng",172.0,9.59,Đông Bắc,Đất thổ cư,6.36,27.04,Hòa Vang
1.45,"Kđt Thái Dương, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",100.0,14.5,Tây Bắc,Đất thổ cư,4.5,22.22,Ngũ Hành Sơn
14.0,"Đường Doãn Khuê, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",150.0,93.33,Bắc,Đất nền dự án,6.0,24.0,Hải Châu
11.5,"Đường Nguyễn Phước Lan, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",97.0,118.56,Tây Nam,Đất nền dự án,5.0,20.0,Cẩm Lệ
15.0,"Đường Trần Sâm, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",267.0,56.18,Đông Bắc,Đất nền dự án,16.0,16.0,Sơn Trà
1.15,"Đường Nguyễn Tất Thành, Xã Hòa Liên, Huyện Hòa Vang, Đà Nẵng",150.0,7.67,Bắc,Đất thổ cư,5.2,28.0,Hòa Vang
7.75,"Đường Xuân Thiều 21, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng",260.0,29.81,Đông Bắc,Đất thổ cư,15.0,17.6,Liên Chiểu
3.35,"Đường Trần Đại Nghĩa, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",245.0,13.67,Đông,Đất nền dự án,10.0,24.5,Ngũ Hành Sơn
7.9,"Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",124.0,63.71,Đông Nam,Đất thổ cư,5.0,24.8,Sơn Trà
1.85,"Cầu Đỏ - Túy Loan, Xã Hòa Nhơn, Huyện Hòa Vang, Đà Nẵng",153.0,12.09,Nam,Đất thổ cư,5.0,30.0,Hòa Vang
2.55,"Nhơn Hòa 10, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",100.0,25.5,Tây Bắc,Đất thổ cư,5.0,20.0,Cẩm Lệ
2.35,"Đà Sơn 5, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",100.0,23.5,Đông Nam,Đất nền dự án,5.0,20.0,Liên Chiểu
4.5,"Đường Nam Kỳ Khởi Nghĩa, Phường Hoà Hải, Quận Ngũ Hành Sơn, Đà Nẵng",138.0,32.61,Nam,Đất thổ cư,7.5,18.4,Ngũ Hành Sơn
20.0,"Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",125.0,160.0,Đông,Đất thổ cư,5.0,25.0,Sơn Trà
4.3,"Đường Phước Trường 12, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",114.0,37.72,Nam,Đất thổ cư,4.5,26.0,Sơn Trà
5.8,"Ninh Tốn , Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",122.0,47.54,,Đất thổ cư,5.0,24.4,Liên Chiểu
1.77,"Đường Nguyễn Chánh, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",61.0,29.02,Tây Bắc,Đất thổ cư,5.0,15.0,Liên Chiểu
7.4,"Nguyễn Sinh Sắc, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",146.5,50.51,Đông Nam,Đất thổ cư,7.5,20.0,Liên Chiểu
2.8,"Đường Võ Chí Công, Phường Hoà Quý, Quận Ngũ Hành Sơn, Đà Nẵng",110.0,25.45,,Đất thổ cư,5.0,22.0,Ngũ Hành Sơn
6.5,"Chu Huy Mân, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",160.0,40.62,,Đất thổ cư,8.0,20.0,Sơn Trà
